序号,类别,构件名称,规格,X坐标(mm),Y坐标(mm),图层,Handle
1,DCC支架,DCC-Rack-150,2850x2300(右) DCC-D,1525.0,42725.0,K-CEIL-DCC-RACK,
2,DCC支架,DCC-Rack-150,2850x2600(右) DCC-E*2,7900.0,115675.0,K-CEIL-DCC-RACK,
3,DCC支架,DCC-Rack-150,2850x2600(右) DCC-C*2,6500.0,115675.0,K-CEIL-DCC-RACK,
4,DCC支架,DCC-Rack-150,2000x2300(右) DCC-B,6500.0,42725.0,K-CEIL-DCC-RACK,
5,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,18600.0,2765.57,K-CEIL-DCC-RACK,
6,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,33000.0,2764.94,K-CEIL-DCC-RACK,
7,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,40200.0,2764.94,K-CEIL-DCC-RACK,
8,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D,39600.0,42739.11,K-CEIL-DCC-RACK,
9,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D,97200.0,42739.11,K-CEIL-DCC-RACK,
10,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D,104400.0,42739.11,K-CEIL-DCC-RACK,
11,DCC支架,DCC-Rack-200,DCC-F*2,155400.0,2765.57,K-CEIL-DCC-RACK,
12,DCC支架,DCC-Rack-200,2850x2600(右) DCC-E,147600.0,42739.11,K-CEIL-DCC-RACK,
13,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D*2,25200.0,115661.21,K-CEIL-DCC-RACK,
14,DCC支架,DCC-Rack-200,2850x2600(右) DCC-E*2,10800.0,115660.89,K-CEIL-DCC-RACK,
15,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D,32400.0,115661.21,K-CEIL-DCC-RACK,
16,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D*2,39600.0,115661.21,K-CEIL-DCC-RACK,
17,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D*2,104400.0,115661.21,K-CEIL-DCC-RACK,
18,DCC支架,DCC-Rack-200,2850x2300(右) DCC-D*2,111600.0,115661.21,K-CEIL-DCC-RACK,
19,DCC支架,DCC-Rack-200,,4200.0,155635.11,0-A-C200X100X35X3.0,
20,DCC支架,DCC-Rack-200,MD 1200x2200 DCC-F,83400.0,155635.11,K-CEIL-DCC-RACK,
21,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,76200.0,155635.11,K-CEIL-DCC-RACK,
22,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,69000.0,155635.11,K-CEIL-DCC-RACK,
23,DCC支架,DCC-Rack-200,3500x2300(右) DCC-F*2,213000.0,2761.79,K-CEIL-DCC-RACK,
24,DCC支架,DCC-Rack-200,2850x2600(右) DCC-E,169200.0,42739.11,K-CEIL-DCC-RACK,
25,DCC支架,DCC-Rack-200,2850x2600(右) DCC-E*2,140400.0,115661.21,K-CEIL-DCC-RACK,
26,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,177000.0,155635.11,K-CEIL-DCC-RACK,
27,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,184200.0,155635.11,K-CEIL-DCC-RACK,
28,DCC支架,DCC-Rack-200,2850x2600(右) DCC-E,162000.0,115661.21,K-CEIL-DCC-RACK,
29,DCC支架,DCC-Rack-200,3500x2300(左) DCC-F,241814.29,155633.76,K-CEIL-DCC-RACK,
