类别,构件名称,规格,数量,单位,图层,备注
DCC支架,DCC-Rack-150,,19,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000*2300(右) DCC-B,9,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000*2300(左),1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000*2300(左) DCC-B,5,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000x1800(右) DCC-A*2,2,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000x1800(左) DCC-A*2,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000x2300(右) DCC-B,6,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000x2300(左) DCC-B,2,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2000x2600(右) DCC-J*2,4,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右),1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右) DCC-B*2,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右) DCC-C,9,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右) DCC-C*2,22,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右) DCC-E,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(右) DCC-E*2,7,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(左),1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(左) DCC-C,3,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,3,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x1800(左) DCC-D*2,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右),23,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-B,2,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-C,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-C*2,2,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-D,25,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-D*2,15,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(右) DCC-E*2,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(左),17,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(左) DCC-C*2,8,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(左) DCC-D,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2300(左) DCC-D*2,1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2600(右),1,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2600(右) DCC-C*2,4,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2600(右) DCC-E,9,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-150,2850x2600(右) DCC-E*2,26,个,K-CEIL-DCC-RACK,
