序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台
1,,,DCC-F,3.50,2.30,,,1
2,,,DCC-F,3.50,2.30,右,,15
3,,,DCC-F,3.50,2.30,左,,80
4,,,DCC-F,2.00,2.30,左,,1
5,,,DCC-F,2.00,2.60,左,,3
6,,,DCC-F,1.20,2.20,,,1
7,,,DCC-F*2,3.50,2.30,,,2
8,,,DCC-F*2,3.50,2.30,右,,4
9,,,DCC-F*2,3.50,2.30,左,,8
10,,,DCC-E,2.85,2.60,右,,1
11,,,DCC-E,2.85,2.30,左,,4
12,,,DCC-E*2,2.85,2.30,左,,3
13,,,DCC-D*2,2.85,2.30,右,,1
14,,,DCC-D*2,2.85,2.30,左,,1
15,,,DCC-C*2,2.85,1.80,右,,4
16,,,DCC-C*2,2.85,2.30,右,,14
17,,,DCC-C*2,2.85,1.80,左,,4
18,,,DCC-C*2,2.85,2.30,左,,11
19,,,DCC-C*2,,,,,2
20,,,,2.85,1.80,,,18
21,,,,2.85,2.30,,,16
22,,,,2.85,2.60,,,6
23,,,,2.85,2.30,右,,1
24,,,,2.85,2.30,左,,2
25,,,,2.00,2.30,,,2
26,,,,,,,,22
