类别,构件名称,规格,数量,单位,图层,备注
墙体,A-WALL,,563.82,m,A-WALL,
墙体,A-DETL,,414.63,m,A-DETL,
墙体,A-DETL-THIN,,240.30,m,A-DETL-THIN,
剖切符号,剖切号 - 剖切号,,1,个,A-DETL-GENF,
剖切符号,剖切号 - 剖切号,,1,个,A-DETL-GENF,
剖切符号,剖切号 - 剖切号,,1,个,A-DETL-GENF,
单扇防火门,单扇平开防火门_带观察窗 - FM乙1123,,1,个,A-DOOR,
单扇防火门,单扇平开防火门_带观察窗 - FM乙1123,,1,个,A-DOOR,
卷帘门,墙外卷帘门 - FJLM4830_3H_,,1,个,A-DOOR,
卷帘门,墙外卷帘门 - FJLM4830_3H常开_,,1,个,A-DOOR,
双扇防火门,双扇平开防火门_带观察窗 - FM甲1523,,2,个,A-DOOR,
双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_,,2,个,A-DOOR,
墙洞口,矩形墙洞-A - 矩形墙洞-A,,1,个,A-GENM,
墙洞口,矩形墙洞-A - 矩形墙洞-A,,1,个,A-GENM,
墙洞口,矩形墙洞-A - 矩形墙洞-A,,1,个,A-GENM,
幕墙竖梃/结构构件,LC1 - 4100A - LC3,,1,个,A-GLAZ,
幕墙竖梃/结构构件,LC1- 4100C - LC4,,1,个,A-GLAZ,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
扶栏,顶部扶栏类型 - 顶部扶栏_内部_,,1,个,A-FLOR-HRAL,
挡烟垂壁,挡烟垂壁1 - 挡烟垂壁,,1,个,M-EQPM,
挡烟垂壁,挡烟垂壁1 - 挡烟垂壁,,1,个,M-EQPM,
楼板洞口,楼板洞口 - 楼板洞口-无翻边,,1,个,A-GENM,
楼板洞口,楼板洞口 - 楼板洞口-无翻边,,1,个,A-GENM,
楼板洞口,楼板洞口 - 楼板洞口-无翻边,,1,个,A-GENM,
楼板洞口,楼板洞口 - 楼板洞口-无翻边,,1,个,A-GENM,
楼板洞口,楼板洞口 - 楼板洞口-翻边100mm,,1,个,A-GENM,
楼板洞口,楼板洞口 - 楼板洞口-翻边100mm,,1,个,A-GENM,
楼梯,下楼梯路径 - 顺砌剖面,,2,个,A-DETL-GENF,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",1,个,0,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",1,个,0,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",1,个,0,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",1,个,0,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",5,个,0,
混凝土柱,砼_柱_矩形 - 1800X1800 2,"1800x1800, 1800x1800",1,个,0,
爬梯,钢爬梯 - 标准,,1,个,Q-SPCQ,
符号标记,临时单轴号 - 临时标记-下-5mm,,1,个,A-ANNO-NOTE,
轴网符号,轴网 - 1_5mm-0_9,,4,个,S-GRID-IDEN,
轴网符号,轴网 - 宽度系数 0_65,,22,个,S-GRID-IDEN,
钢柱,钢_柱_方管 - RHS600X600X22,"600x600, RHS600x600x22",4,个,0,
钢柱,钢_柱_方管 - RHS900X900X32,"900x900, RHS900x900x32",14,个,0,
钢柱,钢_柱_方管 - RHS900X900X32,"900x900, RHS900x900x32",1,个,0,
钢柱,钢_柱_方管 - RHS900X900X32,"900x900, RHS900x900x32",1,个,0,
钢梁,钢_梁_工形 - BW250_9_250_14_250_14,,1,个,0,
钢梁,钢_梁_工形 - M_连接-刚性-填充,,1,个,0,
钢梁,钢_梁_工形 - M_连接-刚性-填充,,1,个,0,
门,DOR-2000,,2,个,B3-2_dwg,
门,DOR-1800,,1,个,B3-3_dwg,
闸机,行人出入闸机_002 - 类型 1,,1,个,Q-SPCQ,
闸机,行人出入闸机_002 - 类型 1,,1,个,Q-SPCQ,
闸机,闸机-不带门 - 闸机-不带门,,5,个,Q-SPCQ,
结构线,S-BEAM,,0.26,m,S-BEAM,1条
结构线,S-STRS,,109.37,m,S-STRS,98条
轴网,轴网线,,700.19,m,S-GRID,17条
