handle,type,layer,color,linetype,lineweight,x1,y1,x2,y2,r,text,height,rotation,block_name,scale_x,scale_y,dim_text,dimstyle
29391,INSERT,0,,,,-189537.1049,137644.0124,,,,,,,M12,,,,
29392,INSERT,0,,,,-189809.1413,137644.0124,,,,,,,M12,-1.0,1,,
29393,INSERT,0,,,,-189809.1413,131593.5343,,,,,,,M12,,,,
29394,INSERT,0,,,,-189537.1049,131593.5343,,,,,,,M12,-1.0,1,,
293A1,LWPOLYLINE,0,,,,,,,,,,,,,,,,
293A2,HATCH,0,,,,,,,,,,,,,,,,
411B5,TEXT,0,,,,-158473.026,128361.5,,,,DCC框架典型立面示意图-A轴和Y轴,150.0,,,,,,
411BF,LWPOLYLINE,0,,,,,,,,,,,,,,,,
41B60,LWPOLYLINE,0,,,,,,,,,,,,,,,,
41B61,LINE,0,,,,-158615.497,128169.0,-156369.426,128169.0,,,,,,,,,
424C4,TEXT,0,,,,-166327.8576,115994.5,,,,DCC框架典型立面示意图-S轴和G轴,150.0,,,,,,
424CE,LWPOLYLINE,0,,,,,,,,,,,,,,,,
42A54,LWPOLYLINE,0,,,,,,,,,,,,,,,,
42A55,LINE,0,,,,-166474.3202,115802.0,-164149.7619,115802.0,,,,,,,,,
42C92,TEXT,0,,,,-143672.4134,115994.5,,,,DCC框架典型立面示意图-S轴和G轴,150.0,,,,,,
42D22,LWPOLYLINE,0,,,,,,,,,,,,,,,,
42D23,LINE,0,,,,-143820.5149,115802.0,-141489.8338,115802.0,,,,,,,,,
47A82,LWPOLYLINE,0,,,,,,,,,,,,,,,,
47D65,TEXT,0,,,,-167645.3448,103627.5,,,,DCC L型框架典型示意图-R轴和H轴,150.0,,,,,,
47D66,LWPOLYLINE,0,,,,,,,,,,,,,,,,
47D67,LINE,0,,,,-167774.7339,103435.0,-165451.0642,103435.0,,,,,,,,,
47D6B,CIRCLE,0,,,,-159245.7696,104313.5,,,303.5,,,,,,,,
47D6F,LWPOLYLINE,0,,,,,,,,,,,,,,,,
48792,TEXT,0,,,,-147212.2696,103627.5,,,,DCC L型框架典型示意图-R轴和H轴,150.0,,,,,,
48793,LWPOLYLINE,0,,,,,,,,,,,,,,,,
48794,LINE,0,,,,-147684.2696,103435.0,-144949.9502,103435.0,,,,,,,,,
48798,LWPOLYLINE,0,,,,,,,,,,,,,,,,
51FC4,INSERT,0,,,,-187553.416,106859.5343,,,,,,,M12,-1.0,1,,
51FC5,INSERT,0,,,,-187825.4523,106859.5343,,,,,,,M12,,,,
51FC7,INSERT,0,,,,-187825.4523,112910.0124,,,,,,,M12,-1.0,1,,
51FC8,INSERT,0,,,,-187553.416,112910.0124,,,,,,,M12,,,,
51FD1,LWPOLYLINE,0,,,,,,,,,,,,,,,,
51FD2,HATCH,0,,,,,,,,,,,,,,,,
51FD5,INSERT,0,,,,-185053.0404,106859.5343,,,,,,,M12,-1.0,1,,
51FD6,INSERT,0,,,,-185325.0768,106859.5343,,,,,,,M12,,,,
51FE1,LWPOLYLINE,0,,,,,,,,,,,,,,,,
51FE2,HATCH,0,,,,,,,,,,,,,,,,
52052,LWPOLYLINE,0,,,,,,,,,,,,,,,,
520E1,INSERT,0,,,,-193810.5006,106859.5343,,,,,,,M12,,,,
520E2,INSERT,0,,,,-193538.4643,106859.5343,,,,,,,M12,-1.0,1,,
520E4,INSERT,0,,,,-193538.4643,112910.0124,,,,,,,M12,,,,
520E5,INSERT,0,,,,-193810.5006,112910.0124,,,,,,,M12,-1.0,1,,
520EE,LWPOLYLINE,0,,,,,,,,,,,,,,,,
520EF,HATCH,0,,,,,,,,,,,,,,,,
520F0,INSERT,0,,,,-196310.8762,106859.5343,,,,,,,M12,,,,
520F1,INSERT,0,,,,-196038.8398,106859.5343,,,,,,,M12,-1.0,1,,
520F7,LWPOLYLINE,0,,,,,,,,,,,,,,,,
520F8,HATCH,0,,,,,,,,,,,,,,,,
5214E,TEXT,0,,,,-190897.4721,104927.841,,,,DCC及支架剖面布置图,150.0,,,,,,
5214F,LWPOLYLINE,0,,,,,,,,,,,,,,,,
52150,LINE,0,,,,-191041.486,104735.341,-189495.2336,104735.341,,,,,,,,,
54AF1,LWPOLYLINE,0,,,,,,,,,,,,,,,,
54B12,INSERT,0,,,,-182679.1069,137644.0124,,,,,,,M12,,,,
54B13,INSERT,0,,,,-182951.1433,137644.0124,,,,,,,M12,-1.0,1,,
54B14,INSERT,0,,,,-182951.1433,131593.5343,,,,,,,M12,,,,
54B15,INSERT,0,,,,-182679.1069,131593.5343,,,,,,,M12,-1.0,1,,
54B1E,LWPOLYLINE,0,,,,,,,,,,,,,,,,
54B1F,HATCH,0,,,,,,,,,,,,,,,,
5504C,HATCH,0,,,,,,,,,,,,,,,,
5504D,CIRCLE,0,,,,-192002.4248,125033.7008,,,23.5,,,,,,,,
5504E,HATCH,0,,,,,,,,,,,,,,,,
5504F,CIRCLE,0,,,,-191652.4248,125033.7008,,,23.5,,,,,,,,
55050,HATCH,0,,,,,,,,,,,,,,,,
55051,CIRCLE,0,,,,-192002.4248,124283.7008,,,23.5,,,,,,,,
55052,HATCH,0,,,,,,,,,,,,,,,,
55053,CIRCLE,0,,,,-191652.4248,124283.7008,,,23.5,,,,,,,,
55058,DIMENSION,0,,,,,,,,,,,,,,,,DIM-40-100
