类别,构件名称,规格,数量,单位,图层,备注
DCC支架,DCC-Rack-150,,239,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-200,,151,个,K-CEIL-DCC-RACK,
DCC支架,DCC-Rack-200x200,200x200,220,个,K-CEIL-DCC-RACK,
DCC设备,DCC-2018-H,,1,个,0-DCC,
DCC设备,DCC-2023,2000x2300,3,个,0-DCC,
DCC设备,DCC-2026,2000x2600,3,个,0-DCC,
DCC设备,DCC-20x18,,2,个,0-DCC,
DCC设备,DCC-28.5x26,,17,个,0-DCC,
DCC设备,DCC-2923-H,,44,个,0-DCC,
DCC设备,DCC-3523,3500x2300,110,个,0-DCC,
DCC设备,DCC2850x1800(右),2850x1800,18,个,0-DCC,
DCC设备,DCC2850x2300(右),2850x2300,1,个,0-DCC,
DCC设备,DCC2850x2300(右)水平,2850x2300,10,个,0-DCC,
DCC设备,DCC2850x2300(左),2850x2300,5,个,0-DCC,
DCC设备,DCC2850x2600(左),2850x2600,6,个,0-DCC,
DCC设备,DCC3523左接管,,7,个,0-DCC,
DCC隔断/门,DCC-SEC-2300,2300x0,8,个,0-DCC,
DCC隔断/门,DIV-DOOR-1000Wx2200H,,4,个,K-CEIL-DIV-DOOR_Phase 2,
DCC隔断/门,DIV-DOOR-1200Wx2200H,,2,个,K-CEIL-DIV-DOOR_Phase 2,
其他,200x75,,5,个,Cloud-20250416,
型钢,A$C2DBF4B5B,,239,个,ANGEL STEEL_75x75x3.0,
型钢,Angle iron,,1,个,0,
型钢,C200X75,,1,个,0,
外部参照,D-HLP2-ST-F3-BEA-1-001,,1,个,K-BZ-01,
外部参照,X-HL-SM-F1-SEC-00-01$0$A$C147C6879,6800x7900,83,个,X-HL-SM-F1-SEC-00-01$0$BOLTS,
外部参照,X-HL-SM-F1-SEC-00-01$0$A$C4EA80240,200x4000,88,个,X-HL-SM-F1-SEC-00-01$0$BOLTS,
外部参照,X-HLP2-CR-F2-LAY-KEQP-02-002$0$DCC-2023,2000x2300,9,个,0-DCC,
外部参照,X-HLP2-CR-F2-LAY-KEQP-02-002$0$DCC-2023-H,,2,个,0-DCC,
外部参照,X-HLP2-CR-F2-LAY-KEQP-02-002$0$DCC-28.523,,49,个,0-DCC,
外部参照,X-HLP2-CR-F2-LAY-KEQP-02-002$0$DCC-28.5x18,,85,个,0-DCC,
外部参照,X-HLP2-CR-F2-LAY-KEQP-02-002$0$DCC-28.5x26,,30,个,0-DCC,
外部参照,X-HLP2-SCOLN-F3,,1,个,K-BZ-01,
外部参照,X-HLP3-AR-F3-LAY-02-001,,1,个,K-BZ-01,
外部参照,X-HLP3-CR-F3-LAY-KEQP-02-002_20260401 DCC更新_SPM$0$DCC-Rack-200,,1,个,X-HLP3-CR-F3-LAY-KEQP-02-002_20260401 DCC更新_SPM$0$K-CEIL-DCC-RACK,
外部参照,X-HLP3-CR-F3-LAY-KEQP-02-002_20260401 DCC更新_SPM$0$MD1-1222,1200x2200,2,个,X-HLP3-CR-F3-LAY-KEQP-02-002_20260401 DCC更新_SPM$0$K-PART-DOOR,
外部参照,X-HLP3-CR-F3-LAY-KPART-02-001,,1,个,XREF,
外部参照,X-HLP3-CR-F3-LAY-KPART-03-001,,1,个,K-BZ-01,
外部参照,X-HLP3-CR-F3-LAY-KPART-03-001$0$2023,2000x2300,1,个,X-HLP3-CR-F3-LAY-KPART-03-001$0$K-PART-DOOR,
外部参照,X-Wallfe-3F,,1,个,K-BZ-01,
柱,H-方柱-200x8-X11,,2,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X13,,2,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X3,,4,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X4,,1,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X5,,1,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X6,,1,个,K-CEIL-DCC-RACK,
柱,H-方柱-200x8-X8,,2,个,K-CEIL-DCC-RACK,
柱,柱底找平,,18,个,0-DCC-STRUC-T,
检修门,MD1-1222,1200x2200,14,个,K-PART-DOOR,
检修门,MD2-1022,1000x2200,31,个,K-PART-DOOR,
类型标记,TYPE 2,,25,个,0-BG,
紧固件/螺栓,A$C147C6879,6800x7900,354,个,BOLTS,
紧固件/螺栓,A$C4EA80240,200x4000,354,个,BOLTS,
紧固件/螺栓,H10_40,,236,个,ANCHOR BOLTS,
紧固件/螺栓,M12,,56,个,0,
紧固件/螺栓,化学锚栓连接板,,6,个,K-CEIL-DCC-RACK,
