
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
1,A/B轴,南区,DCC-F,3.50,2.30,,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
2,A/B轴,南区,DCC-F,3.50,2.30,右,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
3,X/Y轴,北区,DCC-F,3.50,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
4,A/B轴,南区,DCC-F,3.50,2.30,左,,46,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-F3-LAY-KEQP-02-002, X-HLP3-CR-PB6-LAY-KEQP-03-001 +1"
5,B/C轴,南区,DCC-F,3.50,2.30,左,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
6,X/Y轴,北区,DCC-F,3.50,2.30,左,,56,X-HLP3-CR-F3-LAY-KEQP-02-002
7,A/B轴,南区,DCC-F,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
8,A/B轴,南区,DCC-F,2.00,1.80,,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
9,A/B轴,南区,DCC-F,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
10,X/Y轴,北区,DCC-F,2.00,2.60,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
11,R/S轴,北中区,DCC-E,2.85,2.30,左,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
12,F/G轴,南区,DCC-E,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
13,R/S轴,北中区,DCC-D,2.85,2.30,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
14,F/G轴,南区,DCC-D,2.40,0.60,右,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
15,F/G轴,南区,DCC-D,2.40,0.60,左,,2,X-HLP3-CR-B3-LAY-KEQP-04-001
16,R/S轴,北中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
17,R/S轴,北中区,DCC-C,2.85,2.30,左,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
18,R/S轴,北中区,DCC-C,2.85,1.80,左,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
19,F/G轴,南区,DCC-C,2.40,1.20,右,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
20,G/H轴,南中区,DCC-7,2.85,2.30,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
21,G/H轴,南中区,DCC-7,2.85,1.80,右,,5,X-HLP3-CR-F3-LAY-KEQP-02-002
22,G/H轴,南中区,DCC-7,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
23,G/H轴,南中区,DCC-7,2.40,1.20,右,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
24,C/D轴,南区,DCC-3-1,3.60,0.50,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
25,D/E轴,南区,DCC-4-1,3.60,0.50,,,32,"X-HLP3-CR-B3-LAY-KEQP-04-001, X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
26,X/Y轴,北区,DCC-1-3,3.50,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
27,H/J轴,南中区,DCC-1-2,2.40,0.80,,,1,X-HLP3-CR-F3-LAY-KEQP-01-002
28,Q/R轴,北中区,DCC-1-2,2.40,0.80,,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
29,R/S轴,北中区,DCC-1-2,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
30,G/H轴,南中区,DCC-1-3,2.40,1.30,右,,9,X-HLP3-CR-F3-LAY-KEQP-01-002
31,H/J轴,南中区,DCC-1-3,2.40,1.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-01-002
32,J/K轴,南中区,DCC-1-3,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
33,K/L轴,南中区,DCC-1-3,2.40,1.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-01-002
34,K/L轴,南中区,DCC-1-3,2.40,1.20,右,,2,X-HLP3-CR-F3-LAY-KEQP-03-002
35,L/M轴,北中区,DCC-1-3,2.40,1.30,右,,24,X-HLP3-CR-F3-LAY-KEQP-01-002
36,W/X轴,北区,DCC-1-3,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-01-002
37,X/Y轴,北区,DCC-1-3,2.40,1.30,右,,3,X-HLP3-CR-F3-LAY-KEQP-01-002
38,B/C轴,南区,DCC-4-2,2.37,0.77,,,10,X-HLP3-CR-B3-LAY-KEQP-04-001
39,C/D轴,南区,DCC-4-2,2.37,0.96,,,5,X-HLP3-CR-B3-LAY-KEQP-04-001
40,C/D轴,南区,DCC-4-2,2.37,0.77,,,5,X-HLP3-CR-B3-LAY-KEQP-04-001
41,D/E轴,南区,DCC-4-1,2.37,0.96,,,8,X-HLP3-CR-B3-LAY-KEQP-04-001
42,B/C轴,南区,DCC-3-1,,,,,2,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
43,C/D轴,南区,DCC-3-1,,,,,4,"X-HLP3-CR-PB6-LAY-KEQP-03-001, X-HLP3-CR-PB6A-LAY-KEQP-03-001"
44,D/E轴,南区,DCC-2365,3.60,0.50,,,3,X-HLP3-CR-B3-LAY-KEQP-04-001
45,C/D轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
46,D/E轴,南区,DCC-2365,2.37,0.96,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001
47,K/L轴,南中区,DCC-2400,2.40,1.20,,,6,X-HLP3-CR-F3-LAY-KEQP-03-002
48,S/T轴,北中区,DCC-2400,2.40,1.20,,,4,X-HLP3-CR-F3-LAY-KEQP-03-002
49,T/U轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002
50,U/V轴,北中区,DCC-2400,2.40,1.20,,,8,X-HLP3-CR-F3-LAY-KEQP-03-002
51,C/D轴,南区,DCC-2406,2.40,0.60,,,1,X-HLP3-CR-B3-LAY-KEQP-04-001

二、DCC支架
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
52,A/B轴,南区,DCC-F,3.50,2.30,左,,16,X-HLP3-CR-F3-LAY-KEQP-02-002
53,X/Y轴,北区,DCC-F,3.50,2.30,左,,30,X-HLP3-CR-F3-LAY-KEQP-02-002
54,A/B轴,南区,DCC-F,3.50,2.30,右,,15,X-HLP3-CR-F3-LAY-KEQP-02-002
55,X/Y轴,北区,DCC-F,1.20,2.20,,,17,X-HLP3-CR-F3-LAY-KEQP-02-002
56,A/B轴,南区,DCC-F,1.20,2.20,,,23,X-HLP3-CR-F3-LAY-KEQP-02-002
57,R/S轴,北中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
58,F/G轴,南区,DCC-E,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
59,G/H轴,南中区,DCC-E,2.85,1.80,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
60,Q/R轴,北中区,DCC-E,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
61,F/G轴,南区,DCC-E,2.85,2.60,右,,8,X-HLP3-CR-F3-LAY-KEQP-02-002
62,R/S轴,北中区,DCC-E,2.85,2.60,右,,36,X-HLP3-CR-F3-LAY-KEQP-02-002
63,G/H轴,南中区,DCC-E,2.85,2.60,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
64,Q/R轴,北中区,DCC-E,2.85,2.60,右,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
65,F/G轴,南区,DCC-E,2.85,2.60,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
66,F/G轴,南区,DCC-E,2.85,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
67,R/S轴,北中区,DCC-E,2.85,2.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
68,F/G轴,南区,DCC-D,2.85,2.30,右,,50,X-HLP3-CR-F3-LAY-KEQP-02-002
69,R/S轴,北中区,DCC-D,2.85,2.30,右,,44,X-HLP3-CR-F3-LAY-KEQP-02-002
70,G/H轴,南中区,DCC-D,2.85,2.30,右,,13,X-HLP3-CR-F3-LAY-KEQP-02-002
71,F/G轴,南区,DCC-D,2.85,2.30,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
72,Q/R轴,北中区,DCC-D,2.85,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
73,G/H轴,南中区,DCC-D,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
74,F/G轴,南区,DCC-D,2.85,2.60,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
75,F/G轴,南区,DCC-D,2.85,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
76,R/S轴,北中区,DCC-D,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
77,R/S轴,北中区,DCC-C,2.85,1.80,右,,39,X-HLP3-CR-F3-LAY-KEQP-02-002
78,G/H轴,南中区,DCC-C,2.85,1.80,右,,12,X-HLP3-CR-F3-LAY-KEQP-02-002
79,Q/R轴,北中区,DCC-C,2.85,1.80,右,,18,X-HLP3-CR-F3-LAY-KEQP-02-002
80,F/G轴,南区,DCC-C,2.85,1.80,右,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
81,G/H轴,南中区,DCC-C,2.85,2.60,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
82,R/S轴,北中区,DCC-C,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
83,F/G轴,南区,DCC-C,2.85,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
84,G/H轴,南中区,DCC-C,2.85,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
85,F/G轴,南区,DCC-C,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
86,F/G轴,南区,DCC-C,2.85,1.80,左,,14,X-HLP3-CR-F3-LAY-KEQP-02-002
87,G/H轴,南中区,DCC-C,2.85,1.80,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
88,R/S轴,北中区,DCC-C,2.85,1.80,左,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
89,Q/R轴,北中区,DCC-C,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
90,R/S轴,北中区,DCC-C,2.00,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
91,R/S轴,北中区,DCC-B,2.85,1.80,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
92,G/H轴,南中区,DCC-B,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
93,F/G轴,南区,DCC-B,2.00,2.30,右,,10,X-HLP3-CR-F3-LAY-KEQP-02-002
94,Q/R轴,北中区,DCC-B,2.00,2.30,右,,6,X-HLP3-CR-F3-LAY-KEQP-02-002
95,G/H轴,南中区,DCC-B,2.00,2.30,右,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
96,F/G轴,南区,DCC-B,2.00,2.30,左,,4,X-HLP3-CR-F3-LAY-KEQP-02-002
97,G/H轴,南中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
98,R/S轴,北中区,DCC-B,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
99,G/H轴,南中区,DCC-7,2.85,2.30,右,,22,X-HLP3-CR-F3-LAY-KEQP-02-002
100,Q/R轴,北中区,DCC-7,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
101,Q/R轴,北中区,DCC-7,2.85,2.30,左,,24,X-HLP3-CR-F3-LAY-KEQP-02-002
102,G/H轴,南中区,DCC-7,2.85,2.60,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
103,Q/R轴,北中区,DCC-7,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
104,G/H轴,南中区,DCC-7,2.00,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
105,G/H轴,南中区,DCC-6,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
106,Q/R轴,北中区,DCC-6,2.85,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
107,G/H轴,南中区,DCC-6,2.85,1.80,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
108,Q/R轴,北中区,DCC-6,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
109,G/H轴,南中区,DCC-6,2.00,2.30,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
110,Q/R轴,北中区,DCC-5,2.00,1.80,左,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
111,G/H轴,南中区,DCC-J,2.00,2.60,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
112,G/H轴,南中区,DCC-1-4,2.85,2.30,右,,1,X-HLP3-CR-F3-LAY-KEQP-02-002
113,F/G轴,南区,DCC-1-3,2.40,1.30,右,,2,X-HLP3-CR-F3-LAY-KEQP-02-002
114,G/H轴,南中区,DCC-1-1,2.37,0.77,左,,2,X-HLP3-CR-F3-LAY-KEQP-02-002

三、门
序号,轴位,区域,类别,名称,规格,数量/樘,来源图纸
115,,,门,泄爆门 - TXBM1530_A_-2590355-LAY-1F-1_500-A,3500x2300(左) DCC-F,15,X-HLP3-AR-F3-LAY-01-001
116,,,门,单扇平开门1 - CCB1221-3601983-LAY-1F-1_500-A,,9,X-HLP3-AR-F3-LAY-01-001
117,,,门,单扇平开门1 - CCB1221-3602038-LAY-1F-1_500-A,,8,X-HLP3-AR-F3-LAY-01-001
118,,,检修门,MD1-1222,MD 1200x2200 DCC-F,8,X-HLP3-CR-F3-LAY-KEQP-02-002
119,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-4642620-LAY-1F-1_500-A,,6,X-HLP3-AR-F3-LAY-01-001
120,,,检修门,MD2-1022,1000x2200 2850x2300(右) DCC-D*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
121,,,检修门,MD1-1222,MD 1200x2200 DCC-F*2,6,X-HLP3-CR-F3-LAY-KEQP-02-002
122,,,门,单开门 1000X2000,1000x2000 2400x1300(右) DCC-1-3,6,"X-HLP3-CR-F3-LAY-KPART-01-002, X-HLP3-CR-F3-LAY-KPART-03-002"
123,,,门,单开门 1000X2000,1000x2000,6,X-HLP3-CR-F3-LAY-KPART-03-002
124,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689979-LAY-1F-1_500-A,,5,X-HLP3-AR-F3-LAY-01-001
125,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V66-LAY-1F-1_500-A,,5,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
126,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-2F-1_500-A,,5,X-HLP3-AR-F3-LAY-02-001
127,,,检修门,MD2-1022,1000x2200 2850x1800(右) DCC-C*2,5,X-HLP3-CR-F3-LAY-KEQP-02-002
128,,,检修门,MD2-1022,1000x2200 2850x1800(左) DCC-C*2,5,X-HLP3-CR-F3-LAY-KEQP-02-002
